File,Type,Size(Bytes),LastModified,Source
resonance-gate/.git/logs/refs/remotes/origin/HEAD,ASCII text,197,2025-11-30 13:23:28.950512534 -0500,proot_home
resonance-gate/.git/logs/refs/heads/main,ASCII text,390,2025-11-30 13:25:08.638512540 -0500,proot_home
resonance-gate/.git/logs/HEAD,ASCII text,390,2025-11-30 13:25:08.638512540 -0500,proot_home
resonance-gate/.git/COMMIT_EDITMSG,ASCII text,30,2025-11-30 13:25:08.618512540 -0500,proot_home
resonance-gate/.git/packed-refs,ASCII text,112,2025-11-30 13:23:28.930512534 -0500,proot_home
resonance-gate/.git/index,Git index,217,2025-11-30 13:25:08.614512540 -0500,proot_home
resonance-gate/README.md,Unicode text,171,2025-11-30 13:23:28.962512534 -0500,proot_home
resonance-gate/index.html,HTML document,1465,2025-11-30 13:23:28.990512534 -0500,proot_home
keystone_payment_engine_bootstrap.sh,Bourne-Again shell script,18312,2025-11-19 04:48:25.470494273 -0500,proot_home
.cargo/env,ASCII text,96,2025-11-21 19:21:33.278402527 -0500,proot_home
.cargo/.package-cache,empty,0,2025-11-25 01:26:28.027673419 -0500,proot_home
.cargo/registry/CACHEDIR.TAG,ASCII text,177,2025-11-25 01:26:28.031673419 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/config.json,JSON text data,76,2025-11-25 01:27:05.351673421 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/an/yh/anyhow,data,73970,2025-11-25 01:29:17.207673429 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/an/st/anstyle,data,9004,2025-11-26 18:52:38.679759566 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/an/st/anstream,data,51713,2025-11-26 18:52:39.503759567 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/an/st/anstyle-parse,data,12364,2025-11-26 18:52:40.967759567 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/an/st/anstyle-query,data,3636,2025-11-26 18:52:40.967759567 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/an/st/anstyle-wincon,data,13209,2025-11-26 18:52:40.967759567 -0500,proot_home
.cargo/registry/index/index.crates.io-1949cf8c6b5b557f/.cache/an/dr/android-tzdata,data,590,2025-12-15 12:55:37.940000445 -0500,proot_home
